"1.";"-";"-";"ivb.mail.do1";"Anliegen";;;"H"
"1.1.";"ivb.mail.do1";"EMAIL";"EMAIL";"Nachricht";;"Anliegen. Nachrichten";"H"
"1.1.1.";"EMAIL";"RECIPIENTS";"RECIPIENTS";"Beteiligter";;"Anliegen. Vorgänge. Beteiligte
Anliegen. Vorgänge. Beteiligte
Anliegen. Vorgänge. Beteiligte
";"H"
"1.1.1.1.";"RECIPIENTS";"RECIPIENT";;"Kontakt";"E-Mail-Adresse";"Anliegen. Vorgänge. Beteiligte. Kontakte";"M F"
"1.1.2.";"EMAIL";;"CCS";;;;"N"
"1.1.2.1.";"CCS";"CC";;;;;"N"
"1.1.3.";"EMAIL";;"REPLIES";;;"Anliegen. Nachrichten";"H"
"1.1.3.1.";"REPLIES";"REPLY";;"Nachricht";"E-Mail-Adressen Antwort Empfänger ";"Anliegen. Nachrichten";"M F"
"1.1.4.";"EMAIL";;"HEADERS";;;;"N"
"1.1.5.";"EMAIL";"CONTENT";"CONTENT";"Nachricht";;"Anliegen. Nachrichten";"H"
"1.1.5.1.";"CONTENT";"(data)";;"Datei";"Inhalt";"Anliegen. Nachrichten.  Nachrichtentext Datei";"M"
"1.1.5.1.a.";;;;"Nachricht";"Nachrichtentext ";"Anliegen. Nachrichten";"M F"
"1.1.5.2.";"CONTENT";"MIMETYPE";;"Datei";"Typ";"Anliegen. Nachrichten.  Nachrichtentext Datei";"M"
"1.1.5.3.";"CONTENT";"ENCODING";;"Datei";"Encoding";"Anliegen. Nachrichten.  Nachrichtentext Datei";"M"
"1.1.6.";"EMAIL";;"ATTACHMENT";"Dokument";;"Anliegen. Vorgänge. Dokumente";"H"
"1.1.6.1.";"ATTACHMENT";"(data)";;"Datei";"Inhalt";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.2.";"ATTACHMENT";"MIMETYPE";;"Datei";"Typ ";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.3.";"ATTACHMENT";"ENCODING";;"Datei";"Encoding";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.4.";"ATTACHMENT";"FILENAME";;"Datei";"Quelle Dateiname";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.4.a.";;;;"Datei";"IVB-ID";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.4.b.";;;;"VPlan-Dokumententyp";"VPlan-ID";"Anliegen. Vorgänge. Dokumente. VPlan-Dokumententypen";"M F"
"1.1.6.4.c.";;;;"Dokument";"IVB-ID";"Anliegen. Vorgänge. Dokumente";"M F"
"1.1.6.4.d.";;;;"Dokument";"Bezeichnung";"Anliegen. Vorgänge. Dokumente";"M F"
"1.1.6.5.";"ATTACHMENT";"DISPLAYNAME";;;;;"N"
"1.1.6.6.";"ATTACHMENT";"CONTENTID
(Nummer des Anhangs?)CONTENTID
(Nummer des Anhangs?)";;"Datei";"Dokument Index";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.6.7.";"ATTACHMENT";"TYPESPECIFICATION";;"Datei";"Typ Spezifikation";"Anliegen. Vorgänge. Dokumente. Dateien";"M F"
"1.1.7.";"EMAIL";"FROM";;"Kontakt";"E-Mail-Adresse";"Anliegen. Vorgänge. Beteiligte. Kontakte";"M F"
"1.1.8.";"EMAIL";"SUBJECT";;"Nachricht";"Betrefftext";"Anliegen. Nachrichten";"M F"
"1.1.8.a";;;;"Vorgang";"Bezeichnung";"Anliegen. Vorgänge";"M F"
"1.1.8.b";;;;"VPlan-Dokumententyp";"VPlan-ID";"Anliegen. Vorgänge. Dokumente. VPlan-Dokumententyp";"M F"
"1.1.8.c";;;;"Vorgang";"IVB-ID";"Anliegen. Vorgänge";"M F"
"1.1.8.d.";;;;"Beteiligter";"IVB-ID";"Anliegen. Vorgänge. Beteiligte";"M F"
"1.1.8.e.";;;;"Vplan-Fachliche Rolle";"VPlan-ID";"Anliegen. Vorgänge. Beteiligte. Vplan-Fachliche Rollen";"M F"
"1.1.8.f.";;;;"Vplan-Leistung";"VPlan-ID";"Anliegen. Vorgänge. Vplan-Leistungen";"M F"
"1.1.8.g.";;;;"Vplan-Anwendung";"VPlan-ID";"Anliegen. Nachrichten. IVB-Nachrichtenszenarium";"M F"
"1.1.8.h.";;;;"VPlan-Softwarekomponententyp";"VPlan-ID";"Anliegen. Nachrichten. Sendender Softwaretyp";"M F"
"1.1.8.i.";;;;"Vorgang";"Bearbeitungsstatus";"Anliegen. Vorgänge";"M F"
"1.1.8.j";;;;"Vorgang";"Ergebnisstatus";"Anliegen. Vorgänge";"M F"
"1.1.8.k.";;;;"Termin";"Fristbeginn";"Anliegen. Vorgänge. Termine";"M F"
"1.1.8.l.";;;;"Termin";"Fristende";"Anliegen. Vorgänge. Termine";"M F"
"1.1.8.m.";;;;"VPlan-Nachricht";"VPlan-ID";"Anliegen. Nachrichten. Gesendeter Nachrichtentyp";"M F"
"1.1.8.n.";;;;"VPlan-Nachricht";"VPlan-ID";"Anliegen. Nachrichten. Gesendeter Nachrichtentyp. Unternachrichten";"M F"
"1.1.8.o.";;;;"VPlan-Nachricht";"Containerpfad Index";"Anliegen. Nachrichten. Gesendeter Nachrichtentyp. Unternachrichten";"M F"
"1.1.8.p.";;;;"Softwareinstallation";"IVB-ID";"Anliegen. Nachrichten. Sendende Software";"M F"
"1.1.8.q.";;;;"Nachricht";"IVB-ID";"Anliegen. Nachrichten";"M F"
"1.1.9.";"EMAIL";"ID";;"Nachricht";"IVB-ID";"Anliegen. Nachrichten";"M F"
